speaker,q&a,content
Operator,0,"Good day, and welcome to the Instructure Q3 2018 Earnings Conference Call. Today's conference is being recorded. At this time, I'd like to turn the conference over to Erin Kasenchak. Please go ahead."
Erin Kasenchak,0,"Thank you, operator. Good afternoon, everyone, and thank you for joining us on today's quarterly earnings conference call. Today's call is being hosted by Josh Coates, CEO; Dan Goldsmith, President; and Steve Kaminsky, CFO.
Before we begin, I would like to remind you that today's conference call will include forward-looking statements based on the Company's current expectations. These forward-looking statements are subject to a number of significant risks and uncertainties, and our actual results may differ materially. For a discussion of factors that could affect our future financial results and business, please refer to the disclosure in today's earnings release and the other reports and filings we may file from time-to-time with the Securities and Exchange Commission.
All our statements are made as of today, based on information available to us as of today and except as required by law, we assume no obligation to update any such statements. The content of today's conference call is Instructure's property and cannot be reproduced or transcribed without our prior written consent.
During the call, we will also refer to both, GAAP and non-GAAP financial measures. You can find a reconciliation of our GAAP to non-GAAP measures included in our press release, which is posted to the Investor Relations section of our website. All of the non-revenue financial measures we will discuss today are non-GAAP, unless we state that the measure is a GAAP measure.
Now, I'd like to turn the call over to Instructure's CEO, Josh Coates."
Josh Coates,0,"Thank you, Erin, and thank you everyone for joining us on our Q3 2018 earnings call. Let me start with a quick highlight of the quarter.
Q3 revenue was $55.2 million, up 28% from the same quarter last year, and we realized year-over-year non-GAAP operating margin improvements of almost 7 percentage points. In Q3 in addition to consistent wins in the education space, we saw increased momentum in executing against our long-term strategy by offering a more robust suite of Bridge modules. Also we had continued success winning key deals in the extended enterprise. Let me share with you some of our wins for Q3.
Looking first within the higher education and K-12 domestic canvas markets. Frisco Independent School District in Texas selected Canvas to replace Moodle for their 36,000 students. Oklahoma State with close to 30,000 students selected and faculty selected Canvas and Arc to replace Desire2Learn. The University of Texas at Arlington replaced Backboard with Canvas for their 40,000 students. Fresno State selected Canvas to replace Blackboard for their 20,000 students. And in less than three months of announcing practice to our Canvas community, we are pleased to have closed a deal to train all teachers in the 17th largest school district in the country, Montgomery County Public Schools, with 28,000 faculty and staff.
Looking at Canvas in our international markets, we made progress around the globe. Canvas was selected to replace Blackboard at the University College Cork in Ireland for their 17,000 students, and Lund University in Sweden for their almost 27,000 students. Our ease of use and accessibility were some of the key factors for winning these deals. The Pontifical Catholic University of Chile selected Canvas to replace Moodle for their 31,000 students; De La Salle University, one of the top institutions in the Philippines, selected Canvas for their 16,000 students; and Faculdade das Américas also known as FAM in Brazil choose Canvas and Arc to replace Blackboard for their 20,000 students. The positive response to Canvas across the globe has been great, and just under five years we've expanded to over 70 countries, 30 languages and are approaching 1,000 international customers.
Turning to the corporate side; we made good early progress in executing against our long-term strategy of offering a more robust suite of Bridge modules, as well as winning key deals in the extended enterprise. Let me start with our domestic market; this quarter we successfully expanded our relationship with Vivint, a provider of smart home technology, replacing Cornerstone and BD Network day learning. Now Vivint 17,000 employees will use the full Bridge suite of Learn, Perform, Practice and Arc. Empire Today, a national foreign company choose the full Bridge suite for their sales team of over 4,000 employees. Bridge will replace Oracle learning management for employee onboarding and training across the organization.
MassMutual Life Insurance selected Bridge Learn for their 25,000 field agents. StubHub, the largest ticket marketplace, choose Bridge Learn and Arc to replace Cornerstone for their cost center employees. Fiserv, a leader in financial services technology, chose Bridge Learn and Arc to replace Cornerstone for a division of their lending solutions group. Our ease of use and the platform's ability to effectively deliver training were key components in winning this deal. Safe Auto Insurance selected Bride Learn, Arc and Perform to replace Moodle for their HR and compliance training. Our strategic vision for Bridge aligned with Safe Auto's needs and allowed us to win this deal over Cornerstone.
Turning to our international Bridge wins; Paragon Group, the UK's largest direct mail producer choose Bridge Learn for internal compliance and learning and development for their employees. Also in the UK, a division of a global multi-billion dollar consumer goods company selected Bridge Learn and Arc to train channel and distribution partners. The City UK, that representative body for the UK based financial and related professional service industry selected Bridge Learn and Arc. We're excited by the exposure across their 160-member organizations that comprise over a million employees. We are encouraged to see early multi-module sales of Bridge increasing; and then our long-term vision for Bridge is resonating with companies that share our focus around employee engagement.
Let me wrap up today by discussing the management transition that I'm sure you've all read about in the press release. Dan Goldsmith, our President, will be taking over the reins of CEO at the beginning of the New Year. And to be perfectly honest, I could not ask for a better replacement. This has been a thoughtfully contemplated transition, a success planning that something the board has been working on for over a year. In the last six months that I've worked with Dan, he has demonstrated that he is extremely capable of running that dynamic organization. His proven experience driving growth and making meaningful improvements across an organization makes me more optimistic about Instructure than I've ever been before.
As for me, I'll be stepping into the role of Executive Chairman of the Board, where I'll continue working in areas I'm passionate about, product innovation and the strategic directions of the company.
Now, let me turn it over to Dan."
Dan Goldsmith,0,"First, let me say how excited I'm to be taking on the CEO role at Instructure. The past six months have afforded me a great opportunity to meet with our customers, investors, partners and employees. During those interactions I've seen first-hand, our culture of openness and relentless commitment to customer success, and an unwavering dedication to innovation have established Instructure as a leader in the marketplace. I've also had the opportunity to get to know our leadership team and I'm excited about working with them as we advance our business.
When it comes to Instructure's future, I could not be more bullish. In the near-term, we're focused on continuing our journey with Canvas in education and expanding with Gauge and other add-on offerings. In addition to the large remaining market for Canvas, we're also uniquely positioned for long-term growth and education. Bridge is progressing nicely, Josh highlighted a number of strategic wins in important projects. You heard demonstration that our Bridge suite strategy focuses on employee development and engagement is working, and we are also seeing larger opportunities come into the pipeline. Additionally, I'm excited for our launch of new offerings over the next several quarters. Bridge will fuel Instructure's growth, both in the mid and long-term, making contributions to the business against a large dam [ph].
My focus over the past six months has been on assessing the overall business and affecting changes in our execution, operations and strategy; this will continue to be my focus as we get ready for 2019. Improving our execution is a high priority; much of this initiative is focused on our go-to-market approach. Improving execution is particularly important with Bridge as we up-level our sales efforts and focus on large enterprise opportunities. With a background on driving sizeable transactions, I'm confident in both the opportunity and Instructure's ability to capture larger deals in the corporate market.
From an operational perspective, we have launched an effort to identify efficiencies across the Company; I see this is a way to make further investments in the business as well as drive our path to profitability opening more opportunities for growth, both organically and inorganically.
Now, let me turn it over to Steve to go over the numbers."
Steven Kaminsky,0,"Thanks, Dan. In Q2 as Josh mentioned, revenue grew 28% year-over-year to $55.2 million, and subscription revenue was $49.2 million, up 29% from last year. The revenue outperformance relative to our guidance was primarily driven by better than expected non-recurring revenue and to a lesser extent, early starts. It's important to remember that both of these items represent one-time increases to quarterly revenue but do not impact future quarters.
Training 12-month billings at the end of Q3 were $226.4 million, up nearly 30% from the third quarter of last year, also calculated on a rolling 12-month basis. As you've heard me highlight before, giving the seasonality of our business, we calculate billings on a rolling 12-month basis which provides a more consistent perspective for growth, and I'd encourage all of you to view billings growth in this manner as well.
For the remainder of my commentary, unless otherwise noted, I will discuss non-GAAP results and all EPS numbers are on a per common share basis. Gross margin was 72.5% for Q3, up modestly from the same quarter a year ago. As I mentioned on the last several calls, we expect improvements in gross margin to be incremental as we get closer to our long-term target of 75%. Total operating expenses in Q3 grew 19% year-over-year to $45.7 million while we grew revenue at 28%. Operating loss for the quarter was $5.7 million or 10% of revenue, a 670 basis point improvement over the same quarter from the prior year.
As Dan mentioned, we instituted a push to identify and realize cost savings throughout the organization as we continue along our path profitability. Our 670 basis point improvement in operating margin is in-part, a direct result of this initiative. Jap net loss for the third quarter was $11.5 million, an improvement of $0.06 per share year-over-year. Net loss for non-GAAP EPS calculations was $5.2 million, an improvement of $0.09 of the third quarter of 2017.
Turning to the balance sheet, our ending balance for cash and cash equivalents of marketable securities for September 30 was $171.4 million and free cash flow was negative $53.2 million. This quarter, our strong cash position is a result of our normal seasonal Q3 patterns.
Let me conclude with a discussion of our expectations for the fourth quarter and full year 2018. For the fourth quarter, we expect revenue in the range of $55.2 million to $56.2 million, non-GAAP net loss of $5.8 million to $4.8 million, and non-GAAP net loss per share of $0.16 to $0.14. For the full-year 2018, we expect revenue in the range of $208.5 million to $209.5 million, non-GAAP net loss $26.2 million to $25.2 million, and non-GAAP net loss per share of $0.76 to $0.74. For calculating EPS, we expect our shares to be $35.2 million for the fourth quarter and $34.2 million for the full year.
I'd also like to share our thoughts around total cash flow for 2018. Given the progress we've already made with our cost savings initiatives, I'm happy to report that even with the increased investments in new products this year, we anticipate we will be total cash flow breakeven for the full year 2018. Let me walk you through the numbers to make it very clear.
We ended 2017 with approximately $41 million. In February, we raised $110 million, so we expect the cash balance at year end to be at least $151 million. Q3 was the solid quarter for Instructure with good top line growth and meaningful improvements in operating margins. I look forward to updating you all again in a few months.
With that, let's open it upto questions."
Operator,1,[Operator Instructions] We'll take our first question today from Brian Peterson with Raymond James.
Brian Peterson,1,"I just want to hit on the margin performance this quarter, it was much better than I expected, you guys called out some cost savings. Just curious, are those in the run rate numbers now? And how should we think about the pace of savings versus investments as we think about the next few quarters?"
Josh Coates,1,"Brian, we've given you some guidance for Q4, so you have a good indication of where we think we're going to come in. The costs savings that we're looking at, we'd like to think that we can carry forward as much as possible, however, we're always going to be very open to making investments as we think about our business for the long-term. So hopefully, the Q4 guidance will at least steer you in the right direction."
Brian Peterson,1,"And maybe just on the Canvas business for a second; you guys called out some decent wins again this quarter. Just curious, any update on your domestic Canvas targets? Any thoughts on how bookings trends have looked so far this year?"
Josh Coates,1,"Yes, we have talked about the way micro-domestic Canvas by a little bit; we're not so sure that's going to happen at this point throughout the year, we'll try to have more information on that on the Q4 call."
